location,species,sex,mark number,Date of initial capture,c1,c2,c3,c4,c5,c6,c7,c8
NMBS,CrRWhi,m,255,7-Jun-18,1,0,0,0,0,0,0,0
NMBS,CrRWhi,m,258,7-Jun-18,1,0,0,0,0,0,0,0
NMBS,CrRWhi,m,263,9-Jun-18,0,1,1,0,1,1,0,0
NMBS,CrRWhi,m,274,9-Jun-18,0,1,0,0,0,0,0,0
NMBS,CrRWhi,m,277,9-Jun-18,0,1,0,0,0,0,0,0
NMBS,CrRWhi,m,279,9-Jun-18,0,1,0,0,0,0,0,0
NMBS,CrRWhi,m,286,9-Jun-18,0,1,0,0,0,0,0,0
NMBS,CrRWhi,m,289,9-Jun-18,0,1,0,0,0,0,0,0
NMBS,CrRWhi,m,293,9-Jun-18,0,1,0,0,0,0,0,0
NMBS,CrRWhi,m,357,15-Jun-18,0,0,1,0,0,0,0,0
NMBS,CrRWhi,m,361,15-Jun-18,0,0,1,0,0,0,0,0
NMBS,CrRWhi,m,363,15-Jun-18,0,0,1,0,0,0,0,0
NMBS,CrRWhi,m,364,15-Jun-18,0,0,1,0,0,0,0,0
NMBS,CrRWhi,f,374,15-Jun-18,0,0,1,0,0,0,0,0
NMBS,CrRWhi,m,377,15-Jun-18,0,0,1,0,0,0,0,0
NMBS,CrRWhi,m,383,15-Jun-18,0,0,1,0,0,0,0,0
NMBS,CrRWhi,m,387,15-Jun-18,0,0,1,0,0,0,0,0
NMBS,CrRWhi,m,397,15-Jun-18,0,0,1,0,0,0,0,0
NMBS,CrRWhi,m,398,15-Jun-18,0,0,1,0,0,0,1,0
NMBS,CrRWhi,f,399,15-Jun-18,0,0,1,0,0,0,0,0
NMBS,CrRWhi,f,401,15-Jun-18,0,0,1,0,0,0,0,0
NMBS,CrRWhi,m,402,15-Jun-18,0,0,1,0,0,0,0,0
NMBS,CrRWhi,m,456,30-Jun-18,0,0,0,1,0,0,0,0
NMBS,CrRWhi,m,462,30-Jun-18,0,0,0,1,0,0,0,0
NMBS,CrRWhi,m,465,30-Jun-18,0,0,0,1,0,0,0,0
NMBS,CrRWhi,m,468,30-Jun-18,0,0,0,1,0,0,0,0
NMBS,CrRWhi,m,469,30-Jun-18,0,0,0,1,0,0,0,0
NMBS,CrRWhi,m,471,30-Jun-18,0,0,0,1,0,0,0,0
NMBS,CrRWhi,m,472,30-Jun-18,0,0,0,1,0,0,0,0
NMBS,CrRWhi,m,473,30-Jun-18,0,0,0,1,0,0,0,0
NMBS,CrRWhi,f,521,9-Jul-18,0,0,0,0,1,0,0,0
NMBS,CrRWhi,f,522,9-Jul-18,0,0,0,0,1,0,0,0
NMBS,CrRWhi,m,524,9-Jul-18,0,0,0,0,1,0,0,0
NMBS,CrRWhi,m,526,9-Jul-18,0,0,0,0,1,0,0,0
NMBS,CrRWhi,m,528,9-Jul-18,0,0,0,0,1,0,0,0
NMBS,CrRWhi,m,529,9-Jul-18,0,0,0,0,1,0,1,0
NMBS,CrRWhi,m,530,9-Jul-18,0,0,0,0,1,0,0,0
NMBS,CrRWhi,m,532,9-Jul-18,0,0,0,0,1,0,0,0
NMBS,CrRWhi,m,533,9-Jul-18,0,0,0,0,1,0,0,0
NMBS,CrRWhi,m,535,9-Jul-18,0,0,0,0,1,1,0,0
NMBS,CrRWhi,m,536,9-Jul-18,0,0,0,0,1,0,0,0
NMBS,CrRWhi,m,539,9-Jul-18,0,0,0,0,1,0,0,0
NMBS,CrRWhi,m,540,9-Jul-18,0,0,0,0,1,0,0,0
NMBS,CrRWhi,m,543,9-Jul-18,0,0,0,0,1,0,0,0
NMBS,CrRWhi,m,544,9-Jul-18,0,0,0,0,1,1,0,0
NMBS,CrRWhi,m,545,9-Jul-18,0,0,0,0,1,1,0,0
NMBS,CrRWhi,m,546,9-Jul-18,0,0,0,0,1,1,0,0
NMBS,CrRWhi,m,549,9-Jul-18,0,0,0,0,1,1,0,0
NMBS,CrRWhi,m,550,9-Jul-18,0,0,0,0,1,0,0,0
NMBS,CrRWhi,m,551,9-Jul-18,0,0,0,0,1,0,0,0
NMBS,CrRWhi,m,552,9-Jul-18,0,0,0,0,1,0,0,0
NMBS,CrRWhi,m,554,9-Jul-18,0,0,0,0,1,0,0,0
NMBS,CrRWhi,m,555,9-Jul-18,0,0,0,0,1,0,0,0
NMBS,CrRWhi,m,557,9-Jul-18,0,0,0,0,1,0,0,0
NMBS,CrRWhi,m,558,9-Jul-18,0,0,0,0,1,0,0,0
NMBS,CrRWhi,m,559,9-Jul-18,0,0,0,0,1,1,0,0
NMBS,CrRWhi,m,585,10-Jul-18,0,0,0,0,0,1,0,0
NMBS,CrRWhi,m,586,10-Jul-18,0,0,0,0,0,1,0,0
NMBS,CrRWhi,m,590,10-Jul-18,0,0,0,0,0,1,0,0
NMBS,CrRWhi,m,591,10-Jul-18,0,0,0,0,0,1,0,0
NMBS,CrRWhi,f,593,10-Jul-18,0,0,0,0,0,1,0,0
NMBS,CrRWhi,m,594,10-Jul-18,0,0,0,0,0,1,0,0
NMBS,CrRWhi,m,614,12-Jul-18,0,0,0,0,0,0,1,0
NMBS,CrRWhi,m,616,12-Jul-18,0,0,0,0,0,0,1,1
NMBS,CrRWhi,m,621,19-Jul-18,0,0,0,0,0,0,0,1
NMBS,CrRWhi,m,622,19-Jul-18,0,0,0,0,0,0,0,1
NMBS,CrRWhi,m,623,19-Jul-18,0,0,0,0,0,0,0,1
